position_id,sku_id,location_id,quantity,lot_number,expiry_date
INV-001,SKU-A001,LOC-A101,50,LOT-2024-001,
INV-002,SKU-A002,LOC-A102,20,LOT-2024-002,
INV-003,SKU-A003,LOC-A103,100,LOT-2024-003,
INV-004,SKU-A004,LOC-A104,200,LOT-2024-004,
INV-005,SKU-A005,LOC-A105,75,LOT-2024-005,
INV-006,SKU-A006,LOC-A106,60,LOT-2024-006,
INV-007,SKU-A007,LOC-A107,15,LOT-2024-007,
INV-008,SKU-A008,LOC-A108,30,LOT-2024-008,
INV-009,SKU-A009,LOC-A201,10,LOT-2024-009,
INV-010,SKU-A010,LOC-A202,120,LOT-2024-010,
INV-034,SKU-A011,LOC-A203,35,LOT-2024-034,
INV-035,SKU-A012,LOC-A204,22,LOT-2024-035,
INV-036,SKU-A013,LOC-A205,18,LOT-2024-036,
INV-037,SKU-A014,LOC-A206,11,LOT-2024-037,
INV-038,SKU-A015,LOC-A207,60,LOT-2024-038,
INV-011,SKU-B001,LOC-B401,40,LOT-2024-011,
INV-012,SKU-B002,LOC-B402,12,LOT-2024-012,
INV-013,SKU-B003,LOC-B403,55,LOT-2024-013,
INV-014,SKU-B004,LOC-B404,80,LOT-2024-014,
INV-015,SKU-B005,LOC-B405,300,LOT-2024-015,
INV-016,SKU-B006,LOC-B406,8,LOT-2024-016,
INV-017,SKU-B007,LOC-B501,5,LOT-2024-017,
INV-018,SKU-B008,LOC-B502,90,LOT-2024-018,
INV-019,SKU-B009,LOC-B503,45,LOT-2024-019,
INV-020,SKU-B010,LOC-B504,500,LOT-2024-020,
INV-039,SKU-B011,LOC-B505,28,LOT-2024-039,
INV-040,SKU-B012,LOC-B506,16,LOT-2024-040,
INV-041,SKU-B013,LOC-B601,33,LOT-2024-041,
INV-042,SKU-B014,LOC-B602,19,LOT-2024-042,
INV-043,SKU-B015,LOC-B603,44,LOT-2024-043,
INV-021,SKU-C001,LOC-C701,25,LOT-2024-021,
INV-022,SKU-C002,LOC-C702,18,LOT-2024-022,
INV-023,SKU-C003,LOC-C703,7,LOT-2024-023,
INV-024,SKU-C004,LOC-C801,33,LOT-2024-024,
INV-025,SKU-C005,LOC-C802,14,LOT-2024-025,
INV-031,SKU-HZ001,LOC-C703,20,LOT-HAZ-001,
INV-032,SKU-HZ002,LOC-C803,15,LOT-HAZ-002,
INV-033,SKU-HZ003,LOC-C903,10,LOT-HAZ-003,
INV-044,SKU-HZ004,LOC-C704,12,LOT-HAZ-004,
INV-045,SKU-HZ005,LOC-C904,8,LOT-HAZ-005,
INV-026,SKU-F001,LOC-FROZ01,200,LOT-FROZEN-001,2026-09-02 17:46:11.235842+00
INV-027,SKU-F002,LOC-FROZ02,150,LOT-FROZEN-002,2026-08-03 17:46:11.235842+00
INV-028,SKU-F003,LOC-FROZ03,300,LOT-FROZEN-003,2026-07-19 17:46:11.235842+00
INV-046,SKU-F004,LOC-FROZ04,80,LOT-FROZEN-004,2026-07-04 17:46:11.235842+00
INV-029,SKU-CH001,LOC-CHIL01,100,LOT-CHILL-001,2026-06-18 17:46:11.235842+00
INV-030,SKU-CH002,LOC-CHIL02,80,LOT-CHILL-002,2026-06-14 17:46:11.235842+00
INV-047,SKU-CH003,LOC-CHIL03,60,LOT-CHILL-003,2026-06-11 17:46:11.235842+00
INV-048,SKU-CH004,LOC-CHIL04,40,LOT-CHILL-004,2026-06-09 17:46:11.235842+00
