location_id,zone,aisle,bay,level,x,y,temperature_zone,max_weight_kg,max_volume_m3,is_staging,nearest_dock_door
STAGE-D1-A,STAGING,1,1,0,5.00,3.00,AMBIENT,2500.00,12.00,t,1
STAGE-D1-B,STAGING,1,2,0,15.00,3.00,AMBIENT,2500.00,12.00,t,1
STAGE-D2-A,STAGING,2,1,0,35.00,3.00,AMBIENT,2500.00,12.00,t,2
STAGE-D2-B,STAGING,2,2,0,45.00,3.00,AMBIENT,2500.00,12.00,t,2
STAGE-D3-A,STAGING,3,1,0,65.00,3.00,AMBIENT,2500.00,12.00,t,3
STAGE-D3-B,STAGING,3,2,0,75.00,3.00,AMBIENT,2500.00,12.00,t,3
STAGE-D4-A,STAGING,4,1,0,95.00,3.00,AMBIENT,2500.00,12.00,t,4
STAGE-D4-B,STAGING,4,2,0,105.00,3.00,AMBIENT,2500.00,12.00,t,4
STAGE-COLD-A,STAGING,3,3,0,62.00,3.00,CHILLED,2000.00,10.00,t,3
STAGE-COLD-B,STAGING,3,4,0,78.00,3.00,FROZEN,1800.00,9.00,t,3
LOC-A101,A,1,1,0,10.00,10.00,AMBIENT,2000.00,10.00,f,
LOC-A102,A,1,2,0,25.00,10.00,AMBIENT,2000.00,10.00,f,
LOC-A103,A,1,3,0,40.00,10.00,AMBIENT,2000.00,10.00,f,
LOC-A104,A,1,4,0,55.00,10.00,AMBIENT,2000.00,10.00,f,
LOC-A105,A,1,5,0,70.00,10.00,AMBIENT,2000.00,10.00,f,
LOC-A106,A,1,6,0,85.00,10.00,AMBIENT,2000.00,10.00,f,
LOC-A107,A,1,7,0,100.00,10.00,AMBIENT,2000.00,10.00,f,
LOC-A108,A,1,8,0,110.00,10.00,AMBIENT,2000.00,10.00,f,
LOC-A201,A,2,1,0,10.00,18.00,AMBIENT,2000.00,10.00,f,
LOC-A202,A,2,2,0,25.00,18.00,AMBIENT,2000.00,10.00,f,
LOC-A203,A,2,3,0,40.00,18.00,AMBIENT,2000.00,10.00,f,
LOC-A204,A,2,4,0,55.00,18.00,AMBIENT,2000.00,10.00,f,
LOC-A205,A,2,5,0,70.00,18.00,AMBIENT,2000.00,10.00,f,
LOC-A206,A,2,6,0,85.00,18.00,AMBIENT,2000.00,10.00,f,
LOC-A207,A,2,7,0,100.00,18.00,AMBIENT,2000.00,10.00,f,
LOC-A208,A,2,8,0,110.00,18.00,AMBIENT,2000.00,10.00,f,
LOC-A301,A,3,1,0,10.00,26.00,AMBIENT,2000.00,10.00,f,
LOC-A302,A,3,2,0,25.00,26.00,AMBIENT,2000.00,10.00,f,
LOC-A303,A,3,3,0,40.00,26.00,AMBIENT,2000.00,10.00,f,
LOC-A304,A,3,4,0,55.00,26.00,AMBIENT,2000.00,10.00,f,
LOC-A305,A,3,5,0,70.00,26.00,AMBIENT,2000.00,10.00,f,
LOC-A306,A,3,6,0,85.00,26.00,AMBIENT,2000.00,10.00,f,
LOC-A307,A,3,7,0,100.00,26.00,AMBIENT,2000.00,10.00,f,
LOC-A308,A,3,8,0,110.00,26.00,AMBIENT,2000.00,10.00,f,
LOC-B401,B,4,1,0,10.00,34.00,AMBIENT,2000.00,10.00,f,
LOC-B402,B,4,2,0,30.00,34.00,AMBIENT,2000.00,10.00,f,
LOC-B403,B,4,3,0,50.00,34.00,AMBIENT,2000.00,10.00,f,
LOC-B404,B,4,4,0,70.00,34.00,AMBIENT,2000.00,10.00,f,
LOC-B405,B,4,5,0,90.00,34.00,AMBIENT,2000.00,10.00,f,
LOC-B406,B,4,6,0,110.00,34.00,AMBIENT,2000.00,10.00,f,
LOC-B501,B,5,1,0,10.00,42.00,AMBIENT,2000.00,10.00,f,
LOC-B502,B,5,2,0,30.00,42.00,AMBIENT,2000.00,10.00,f,
LOC-B503,B,5,3,0,50.00,42.00,AMBIENT,2000.00,10.00,f,
LOC-B504,B,5,4,0,70.00,42.00,AMBIENT,2000.00,10.00,f,
LOC-B505,B,5,5,0,90.00,42.00,AMBIENT,2000.00,10.00,f,
LOC-B506,B,5,6,0,110.00,42.00,AMBIENT,2000.00,10.00,f,
LOC-B601,B,6,1,0,10.00,50.00,AMBIENT,2000.00,10.00,f,
LOC-B602,B,6,2,0,30.00,50.00,AMBIENT,2000.00,10.00,f,
LOC-B603,B,6,3,0,50.00,50.00,AMBIENT,2000.00,10.00,f,
LOC-B604,B,6,4,0,70.00,50.00,AMBIENT,2000.00,10.00,f,
LOC-B605,B,6,5,0,90.00,50.00,AMBIENT,2000.00,10.00,f,
LOC-B606,B,6,6,0,110.00,50.00,AMBIENT,2000.00,10.00,f,
LOC-C701,C,7,1,0,15.00,58.00,AMBIENT,2000.00,10.00,f,
LOC-C702,C,7,2,0,45.00,58.00,AMBIENT,2000.00,10.00,f,
LOC-C703,C,7,3,0,75.00,58.00,AMBIENT,2000.00,10.00,f,
LOC-C704,C,7,4,0,105.00,58.00,AMBIENT,2000.00,10.00,f,
LOC-C801,C,8,1,0,15.00,65.00,AMBIENT,2000.00,10.00,f,
LOC-C802,C,8,2,0,45.00,65.00,AMBIENT,2000.00,10.00,f,
LOC-C803,C,8,3,0,75.00,65.00,AMBIENT,2000.00,10.00,f,
LOC-C804,C,8,4,0,105.00,65.00,AMBIENT,2000.00,10.00,f,
LOC-C901,C,9,1,0,15.00,72.00,AMBIENT,2000.00,10.00,f,
LOC-C902,C,9,2,0,45.00,72.00,AMBIENT,2000.00,10.00,f,
LOC-C903,C,9,3,0,75.00,72.00,AMBIENT,2000.00,10.00,f,
LOC-C904,C,9,4,0,105.00,72.00,AMBIENT,2000.00,10.00,f,
LOC-FROZ01,COLD,10,1,0,10.00,76.00,FROZEN,1500.00,8.00,f,
LOC-FROZ02,COLD,10,2,0,25.00,76.00,FROZEN,1500.00,8.00,f,
LOC-FROZ03,COLD,10,3,0,40.00,76.00,FROZEN,1500.00,8.00,f,
LOC-FROZ04,COLD,10,4,0,55.00,76.00,FROZEN,1500.00,8.00,f,
LOC-CHIL01,COLD,11,1,0,75.00,76.00,CHILLED,1800.00,9.00,f,
LOC-CHIL02,COLD,11,2,0,90.00,76.00,CHILLED,1800.00,9.00,f,
LOC-CHIL03,COLD,11,3,0,105.00,76.00,CHILLED,1800.00,9.00,f,
LOC-CHIL04,COLD,11,4,0,115.00,76.00,CHILLED,1800.00,9.00,f,
