line_id,order_id,sku_id,quantity,picked
LINE-0001,ORD-0001,SKU-A001,20,f
LINE-0002,ORD-0001,SKU-A002,5,f
LINE-0003,ORD-0001,SKU-A010,40,f
LINE-0004,ORD-0002,SKU-A003,80,f
LINE-0005,ORD-0002,SKU-A004,60,f
LINE-0006,ORD-0003,SKU-B001,30,f
LINE-0007,ORD-0003,SKU-B002,8,f
LINE-0008,ORD-0003,SKU-C001,10,f
LINE-0009,ORD-0004,SKU-A005,25,f
LINE-0010,ORD-0004,SKU-B003,15,f
LINE-0011,ORD-0005,SKU-F001,50,f
LINE-0012,ORD-0005,SKU-CH001,20,f
LINE-0013,ORD-0006,SKU-F002,30,f
LINE-0014,ORD-0006,SKU-CH002,25,f
LINE-0015,ORD-0006,SKU-F003,15,f
LINE-0016,ORD-0007,SKU-C002,10,f
LINE-0017,ORD-0007,SKU-C003,5,f
LINE-0018,ORD-0008,SKU-HZ001,4,f
LINE-0019,ORD-0008,SKU-HZ004,2,f
LINE-0020,ORD-0009,SKU-A001,10,f
LINE-0021,ORD-0009,SKU-A011,15,f
LINE-0022,ORD-0009,SKU-A012,8,f
LINE-0023,ORD-0010,SKU-B008,30,f
LINE-0024,ORD-0010,SKU-B009,20,f
