order_id,appointment_id,priority,cutoff_time
ORD-0001,APPT-TODAY-001,8,2026-06-04 20:16:11.240249+00
ORD-0002,APPT-TODAY-001,7,2026-06-04 20:31:11.240249+00
ORD-0003,APPT-TODAY-002,5,2026-06-04 22:16:11.240249+00
ORD-0004,APPT-TODAY-002,6,2026-06-04 22:31:11.240249+00
ORD-0005,APPT-TODAY-003,4,2026-06-05 00:16:11.240249+00
ORD-0006,APPT-TODAY-003,9,2026-06-05 00:01:11.240249+00
ORD-0007,APPT-TODAY-004,3,2026-06-05 04:16:11.240249+00
ORD-0008,APPT-TODAY-004,5,2026-06-05 04:31:11.240249+00
ORD-0009,APPT-TODAY-001,10,2026-06-04 20:06:11.240249+00
ORD-0010,APPT-TODAY-002,2,2026-06-04 22:46:11.240249+00
